team_original,offensive_efficiency,defensive_efficiency,effective_fg_pct,opp_effective_fg_pct,turnover_rate,opp_turnover_rate,offensive_rebound_rate,free_throw_rate,three_point_rate,sos,pace
A&M-Corpus Christi,99.7,101,49.5,50.1,16.7,16.6,28.2,28.7,31.4,-2.6,68.7
Abilene Christian,95.5,103.8,47.5,56.5,18.1,20.9,27.6,28.6,32.8,-3.3,71.1
Air Force,89.6,116.3,48.9,56.4,19.8,13.1,19.3,24.1,41.8,-0.8,68.7
Akron,119.2,102.2,58.5,50.6,13.4,15.9,32.7,22.1,45.1,-0.5,72.9
Alabama,118.8,108.1,55.4,49.3,11.2,10.7,29.3,28,53.7,14.7,77.2
Alabama A&M,103.2,106.8,49.2,52.1,14.5,14.5,25.1,32,34,-9.7,69.1
Alabama St.,98.1,106.4,47.1,52.2,15.6,16.3,30.2,25.2,38.5,-7.3,72.9
Alcorn,94,112.6,47.7,55,17.2,15.5,24.8,22.8,33.7,-7.3,71.2
American,105.8,106.9,51.5,54.4,13.8,16.9,24.8,21.8,46.5,-5.7,68
App State,104.4,101.6,49.9,47.5,13,12,30.6,28.6,45.9,-3.7,66.4
Arizona,117.9,94.1,55.1,45,12.8,14.6,38.1,30.8,26.8,15.5,73.1
Arizona St.,105.1,107.9,51.1,52.4,14.9,15.8,27.1,28.2,38.4,10.2,72.6
Ark.-Pine Bluff,101.4,112.2,50,52.6,16.5,14.1,25.4,27.2,37.2,-8,73
Arkansas,119.9,106.8,56.5,51.4,10.7,13.6,30.2,27.6,33.4,13.8,75
Arkansas St.,109.1,104.2,51.7,50.3,16.6,13.1,37.8,27.6,44.9,-2.5,74.9
Army West Point,100.7,112.3,49.3,55.1,14.8,13.6,27.2,20.3,53.3,-7.7,70.3
Auburn,115.3,110.7,52.3,53.6,12.3,14.1,35.2,32.3,39.2,13.9,71.8
Austin Peay,110.5,104.3,53,52.2,13.4,15.6,27.8,27.7,38,-4.3,71.5
Ball St.,97.6,105.4,47,52.7,14.2,16.2,24.1,23.8,39.4,-4.7,67.7
Baylor,113.7,108.7,53.8,52.5,13.9,13.9,35.6,25.7,39.6,11.2,71.4
Bellarmine,116.4,122.8,59.4,59.4,14.1,13,20.8,25.8,41.2,-5.2,67.8
Belmont,115.8,102.9,61,49.9,16,15.1,27.5,23.6,45.7,0.9,72.1
Bethune-Cookman,101.4,105.3,51,49.7,16.7,13.7,28.2,28.4,29.7,-5.7,73.6
Binghamton,97.9,112.4,50,54.3,17,11.6,18.1,28.8,30.9,-10.9,68.2
Boise St.,111.4,105.4,52.2,52.7,14.7,13.1,31.9,30.4,43.1,5.7,69.5
Boston College,97.5,102.2,47,48.9,13.3,12.9,25.9,24.3,42.4,4.1,69.2
Boston U.,111.8,111.6,57.5,53.6,15.7,11.4,25.8,23,43.8,-5.8,66.7
Bowling Green,106.4,100.8,51.8,51,14.5,16.2,26.1,27.1,34.2,-2.5,72.1
Bradley,108.2,103.6,51,52.6,12.2,16.9,25.6,27.1,40.4,0.6,71.5
Brown,96.3,103.8,48.6,51.3,17,16.3,26.4,20.7,36.3,-4.1,69.8
Bryant,93.8,109.1,46.9,52.7,17.7,12.6,24.6,21.4,47.9,-7.9,67.2
Bucknell,97.5,110.5,48.5,54.7,16.7,15.6,24.7,21.8,42.7,-5.4,69.1
Buffalo,111.4,110.6,55.4,55.1,14.3,15.6,25.6,28.4,45.5,-3.3,69.6
Butler,108.4,105.9,50.9,51.9,13.6,13.1,31.7,30.4,34.9,8.2,73.2
BYU,115.4,103.6,54.7,51.2,13.1,14.3,32.5,25.6,39.8,13,72.7
Cal Poly,103.9,109,51.5,53.8,17.4,14.1,27.8,24.9,52.6,-1.9,78.3
Cal St. Fullerton,103.8,106.3,51.4,54.3,13.5,17.2,21.6,27.6,43.1,-1.6,77.3
California,107.4,101.7,52.2,49.6,13.3,13.9,22.4,27.5,42.7,6.2,72.1
California Baptist,104.4,96.6,48.6,46.4,15.1,15,36,26.2,32.1,-1.2,70
Campbell,106.4,110.2,50.1,53.9,15.1,14.7,31.3,30.8,36.9,-0.8,71.5
Canisius,93.9,107.6,46.3,52.2,17,13.9,26.9,22.7,39.5,-7.2,66.3
Central Ark.,110.2,105.6,54,54.9,13.4,16.8,26.2,23.6,48.7,-3.8,71.9
Central Conn. St.,105.5,107.6,51.6,50.2,14.3,12,25.5,23.3,34.9,-8.3,66.9
Central Mich.,102.8,111.4,51.8,54,15.8,14.6,27.8,22.9,34,-3.5,69.7
Charleston So.,104.7,104.7,54.1,46.9,16.1,11,28.1,22.3,49.5,-5.3,77.3
Charlotte,108.6,110.5,53.4,50.9,15.5,11.6,32,26.2,45.4,-0.1,67.2
Chattanooga,107.6,113.3,54.2,51.7,13,11.3,20.1,22.4,49.2,-5.7,68.9
Chicago St.,95.5,112.2,45.3,56.7,13.6,17.1,23.8,22.8,30.9,-6.3,68.2
Cincinnati,103,95.2,50.5,47.3,14.6,15.9,29,22.1,43.8,10.4,71
Clemson,110.3,99.3,52.6,48.9,12.5,15.4,26.4,27.7,42.9,10.4,67.2
Cleveland St.,107.3,121.1,54.2,57.2,15.9,12.8,23.6,27,50.8,-5,73.2
Coastal Carolina,100.8,103.3,47.9,46.8,13.3,10.6,25.6,24.2,43.1,-3.7,71.2
Col. of Charleston,106.2,104.2,50.5,49.2,13.6,12.5,27.8,29.7,38.1,-1.6,70.9
Colgate,107.8,108.7,53.3,52.2,13,13.3,24.4,22.5,35,-5.1,70.1
Colorado,110.6,109.9,53.2,52.9,12.6,13.5,27.2,26.5,35.1,8.1,72.3
Colorado St.,114.8,109.4,58,53.1,16.4,13.3,28,27.9,49,3.7,65.5
Columbia,107.4,105.4,53.5,51.2,16.5,13.1,32.5,21.2,37.5,-2.6,69.8
Coppin St.,90.5,114.1,45.9,55.4,19.3,15,27.6,26.3,35.2,-10,71
Cornell,116.6,115,58.5,55.9,14,13.2,28.3,22.6,51.6,-0.7,73.6
Creighton,107.1,107,53.1,51.1,14.5,12.1,25.6,20.8,48.2,9.3,70.1
CSU Bakersfield,96.2,111.5,45.7,54,16.2,15.3,28.4,29.4,28.9,-5.1,74.8
CSUN,103.6,104.4,51.3,51.6,15.2,14.4,28.8,25.2,33.6,-2.1,77.9
Dartmouth,102.8,110.2,51.8,52.7,15.8,12,21.9,27.1,48.7,-3.1,71.1
