year,month,day,team,opponent,location,teamscore,oppscore
2020,3,7,A&M-Corpus Christi,Houston Baptist,H,84,78
2020,1,4,A&M-Corpus Christi,Southeastern La.,H,80,84
2020,2,29,A&M-Corpus Christi,UIW,H,78,70
2020,1,22,A&M-Corpus Christi,New Orleans,H,74,71
2020,3,4,A&M-Corpus Christi,Sam Houston St.,H,74,60
2020,2,5,A&M-Corpus Christi,McNeese,H,69,62
2020,1,2,A&M-Corpus Christi,Northwestern St.,H,67,62
2020,2,12,A&M-Corpus Christi,SFA,H,67,75
2020,1,18,A&M-Corpus Christi,Lamar University,H,64,58
2020,2,15,A&M-Corpus Christi,Abilene Christian,H,64,78
2019,11,15,A&M-Corpus Christi,Stony Brook,H,63,68
2019,11,17,A&M-Corpus Christi,UTRGV,H,63,55
2019,11,6,A&M-Corpus Christi,Louisiana Tech,H,49,82
2019,11,16,A&M-Corpus Christi,North Dakota St.,H,45,57
2020,2,26,Abilene Christian,Sam Houston St.,H,85,69
2020,1,8,Abilene Christian,McNeese,H,84,88
2020,2,8,Abilene Christian,Lamar University,H,84,49
2020,2,12,Abilene Christian,Houston Baptist,H,81,67
2019,12,21,Abilene Christian,Nicholls St.,H,79,61
2020,1,18,Abilene Christian,Southeastern La.,H,76,55
2020,2,29,Abilene Christian,Central Ark.,H,75,70
2019,12,5,Abilene Christian,Southeast Mo. St.,H,73,64
2020,2,1,Abilene Christian,UIW,H,72,58
2020,3,3,Abilene Christian,SFA,H,72,77
2019,11,16,Abilene Christian,Pepperdine,H,69,73
2020,1,11,Abilene Christian,A&M-Corpus Christi,H,68,56
2019,12,31,Air Force,UC Riverside,H,105,56
2020,2,15,Air Force,San Jose St.,H,95,86
2019,12,7,Air Force,Nevada,H,85,100
2020,1,15,Air Force,Boise St.,H,85,78
2019,12,21,Air Force,Drake,H,80,85
2019,11,7,Air Force,Idaho St.,H,79,89
2020,1,7,Air Force,Utah St.,H,79,60
2019,11,9,Air Force,Texas St.,H,78,71
2019,12,1,Air Force,Jackson St.,H,76,52
2020,2,8,Air Force,San Diego St.,H,74,89
2020,2,22,Air Force,Wyoming,H,72,78
2020,1,28,Air Force,Fresno St.,H,68,79
2020,1,18,Air Force,Colorado St.,H,65,78
2020,2,26,Air Force,New Mexico,H,60,58
2020,3,4,Air Force,Fresno St.,N,77,70
2019,11,24,Air Force,Indiana St.,N,74,84
2019,11,21,Air Force,LMU (CA),N,64,78
2019,11,22,Air Force,Duquesne,N,63,69
2020,3,5,Air Force,San Diego St.,N,60,73
2020,1,18,Akron,Toledo,H,89,99
2019,12,30,Akron,Massachusetts,H,85,79
2020,1,7,Akron,Western Mich.,H,84,69
2019,11,21,Akron,Youngstown St.,H,82,60
2020,3,6,Akron,Kent St.,H,79,76
2019,11,18,Akron,USC Upstate,H,76,45
2020,1,10,Akron,Ball St.,H,75,60
2020,2,22,Akron,Miami (OH),H,75,65
2020,1,28,Akron,Buffalo,H,74,77
2020,2,11,Akron,Bowling Green,H,74,59
2020,3,3,Akron,Ohio,H,74,67
2019,12,8,Akron,Southern U.,H,72,57
2019,11,29,Akron,Merrimack,H,64,47
2020,2,8,Akron,Eastern Mich.,H,59,58
2019,11,15,Akron,N.C. Central,H,57,47
2019,12,21,Akron,Liberty,N,67,80
2019,12,20,Akron,Tulane,N,62,61
2019,12,29,Alabama,Richmond,H,90,78
2020,1,8,Alabama,Mississippi St.,H,90,69
2020,2,29,Alabama,South Carolina,H,90,86
2020,1,18,Alabama,Missouri,H,88,74
2020,2,15,Alabama,LSU,H,88,82
2020,1,15,Alabama,Auburn,H,83,64
2019,11,19,Alabama,Furman,H,81,73
2019,11,5,Alabama,Penn,H,80,81
2020,3,3,Alabama,Vanderbilt,H,79,87
2019,11,11,Alabama,Fla. Atlantic,H,78,59
2019,12,6,Alabama,SFA,H,78,68
2020,2,1,Alabama,Arkansas,H,78,82
2020,1,25,Alabama,Kansas St.,H,77,74
2020,2,4,Alabama,Tennessee,H,68,69
2020,2,19,Alabama,Texas A&M,H,68,74
2019,12,21,Alabama,Belmont,N,92,72
2019,11,28,Alabama,Iowa St.,N,89,104
2019,11,29,Alabama,Southern Miss.,N,83,68
2019,11,27,Alabama,North Carolina,N,67,76
2019,12,20,Alabama A&M,North Ala.,H,92,80
2019,11,25,Alabama A&M,Troy,H,80,66
2020,2,1,Alabama A&M,Texas Southern,H,73,82
2020,2,22,Alabama A&M,Alcorn,H,71,61
2019,12,7,Alabama A&M,Jacksonville St.,H,67,62
2020,1,13,Alabama A&M,Mississippi Val.,H,66,72
2020,1,11,Alabama A&M,Ark.-Pine Bluff,H,59,49
2020,3,5,Alabama A&M,Grambling,H,58,57
2020,1,18,Alabama A&M,Alabama St.,H,56,65
2020,2,3,Alabama A&M,Prairie View,H,54,69
2020,3,7,Alabama A&M,Jackson St.,H,51,54
2020,2,24,Alabama A&M,Southern U.,H,37,64
2020,1,11,Alabama St.,Mississippi Val.,H,81,75
2020,2,3,Alabama St.,Texas Southern,H,79,55
2020,2,24,Alabama St.,Alcorn,H,77,80
2020,2,15,Alabama St.,Alabama A&M,H,61,58
2020,3,5,Alabama St.,Jackson St.,H,59,71
2020,3,7,Alabama St.,Grambling,H,58,70
2020,1,13,Alabama St.,Ark.-Pine Bluff,H,56,61
2020,2,1,Alabama St.,Prairie View,H,52,49
2020,2,22,Alabama St.,Southern U.,H,44,56
2019,12,22,Alabama St.,Austin Peay,N,69,80
2019,11,30,Alabama St.,Chicago St.,N,67,54
2019,12,21,Alabama St.,UAB,N,63,71
2019,11,29,Alabama St.,Chattanooga,N,56,74
2020,1,22,Albany (NY),UMass Lowell,H,101,75
2019,12,14,Albany (NY),Niagara,H,84,80
2019,11,13,Albany (NY),Canisius,H,83,57
2020,1,11,Albany (NY),Maine,H,76,70
2020,2,1,Albany (NY),Vermont,H,75,86
2019,11,9,Albany (NY),Lehigh,H,70,74
2019,11,30,Albany (NY),American,H,68,64
2020,2,5,Albany (NY),Binghamton,H,62,49
2020,2,22,Albany (NY),New Hampshire,H,56,68
2019,12,4,Albany (NY),Yale,H,52,61
2020,2,20,Albany (NY),UMBC,H,50,69
2020,2,29,Albany (NY),Stony Brook,H,49,52
2020,1,25,Albany (NY),Hartford,H,48,62
2019,11,23,Albany (NY),Sacred Heart,N,72,65
2019,11,24,Albany (NY),Presbyterian,N,65,60
2020,2,15,Alcorn,Mississippi Val.,H,92,88
2020,3,7,Alcorn,Texas Southern,H,90,75
2020,1,13,Alcorn,Grambling,H,87,69
2020,3,5,Alcorn,Prairie View,H,80,71
2020,1,11,Alcorn,Jackson St.,H,65,76
2020,1,27,Alcorn,Alabama St.,H,63,60
2020,2,17,Alcorn,Ark.-Pine Bluff,H,60,52
2020,1,25,Alcorn,Alabama A&M,H,59,58
2020,2,29,Alcorn,Southern U.,H,57,71
2019,11,26,American,Howard,H,86,69
2019,12,3,American,UMBC,H,85,61
