year,month,day,team,opponent,location,teamscore,oppscore,home_court_advantage,adjusted_diff
2022,2,19,A&M-Corpus Christi,Northwestern St.,H,83,76,2.4,4.6
2022,1,15,A&M-Corpus Christi,UIW,H,80,64,2.4,13.6
2021,12,8,A&M-Corpus Christi,UTRGV,H,75,69,2.4,3.6
2022,3,2,A&M-Corpus Christi,Nicholls,H,75,86,2.4,-13.4
2022,2,17,A&M-Corpus Christi,SE Louisiana,H,74,83,2.4,-11.4
2022,1,22,A&M-Corpus Christi,Houston Christian,H,71,77,2.4,-8.4
2022,2,3,A&M-Corpus Christi,New Orleans,H,70,79,2.4,-11.4
2022,1,20,A&M-Corpus Christi,McNeese,H,60,56,2.4,1.6
2021,12,18,A&M-Corpus Christi,Lamar University,H,57,53,2.4,1.6
2022,1,6,A&M-Corpus Christi,Northwestern St.,N,89,67,2.4,22
2022,1,7,A&M-Corpus Christi,Nicholls,N,75,84,2.4,-9
2021,11,17,A&M-Corpus Christi,Denver,N,69,67,2.4,2
2022,1,8,A&M-Corpus Christi,McNeese,N,67,54,2.4,13
2021,11,16,A&M-Corpus Christi,IU Indy,N,65,59,2.4,6
2021,12,4,Abilene Christian,UIW,H,98,65,0.1,32.9
2022,2,5,Abilene Christian,UTRGV,H,83,66,0.1,16.9
2022,3,3,Abilene Christian,Utah Tech,H,80,64,0.1,15.9
2022,1,22,Abilene Christian,California Baptist,H,77,68,0.1,8.9
2022,2,2,Abilene Christian,Chicago St.,H,77,73,0.1,3.9
2022,2,24,Abilene Christian,Lamar University,H,77,42,0.1,34.9
2021,12,22,Abilene Christian,Longwood,H,74,58,0.1,15.9
2021,12,11,Abilene Christian,Drexel,H,73,56,0.1,16.9
2021,12,15,Abilene Christian,CSU Bakersfield,H,69,59,0.1,9.9
2022,1,8,Abilene Christian,Sam Houston,H,63,65,0.1,-2.1
2022,1,20,Abilene Christian,Seattle U,H,62,72,0.1,-10.1
2022,3,5,Abilene Christian,Tarleton St.,H,61,56,0.1,4.9
2022,1,6,Abilene Christian,SFA,H,58,64,0.1,-6.1
2022,2,5,Air Force,New Mexico,H,77,91,0.2,-14.2
2021,12,4,Air Force,Army West Point,H,76,58,0.2,17.8
2022,1,20,Air Force,UNLV,H,69,62,0.2,6.8
2022,1,15,Air Force,Nevada,H,68,75,0.2,-7.2
2021,11,24,Air Force,Denver,H,66,65,0.2,0.8
2021,11,17,Air Force,Texas Southern,H,61,57,0.2,3.8
2022,1,28,Air Force,Wyoming,H,61,63,0.2,-2.2
2021,11,27,Air Force,Idaho St.,H,59,48,0.2,10.8
2022,2,16,Air Force,Boise St.,H,59,85,0.2,-26.2
2022,3,1,Air Force,San Jose St.,H,58,54,0.2,3.8
2022,1,22,Air Force,Colorado St.,H,53,73,0.2,-20.2
2021,12,29,Air Force,Utah St.,H,49,47,0.2,1.8
2022,2,22,Air Force,Fresno St.,H,40,65,0.2,-25.2
2021,11,21,Air Force,Bethune-Cookman,N,73,65,0.2,8
2021,11,20,Air Force,Holy Cross,N,72,53,0.2,19
2021,11,11,Air Force,South Dakota,N,53,59,0.2,-6
2021,12,1,Akron,Marshall,H,88,86,-4,6
2022,1,1,Akron,Buffalo,H,88,76,-4,16
2022,1,11,Akron,Ball St.,H,84,74,-4,14
2022,2,22,Akron,Bowling Green,H,82,68,-4,18
2021,12,4,Akron,Southern U.,H,79,62,-4,21
2022,1,18,Akron,Western Mich.,H,74,73,-4,5
2021,12,12,Akron,Florida A&M,H,73,66,-4,11
2022,2,4,Akron,Miami (OH),H,66,55,-4,15
2022,2,11,Akron,Kent St.,H,64,66,-4,2
2022,1,4,Akron,Ohio,H,63,69,-4,-2
2022,2,17,Akron,NIU,H,63,66,-4,1
2022,3,4,Akron,Central Mich.,H,57,56,-4,5
2022,1,22,Akron,Eastern Mich.,H,46,44,-4,6
2021,11,24,Akron,Evansville,N,69,60,-4,9
2021,11,23,Akron,App State,N,45,57,-4,-12
2021,11,22,Akron,Fordham,N,43,63,-4,-20
2021,11,12,Alabama,South Dakota St.,H,104,88,7.4,8.6
2021,11,9,Alabama,Louisiana Tech,H,93,64,7.4,21.6
2022,2,26,Alabama,South Carolina,H,90,71,7.4,11.6
2022,1,29,Alabama,Baylor,H,87,78,7.4,1.6
2021,11,19,Alabama,Oakland,H,86,59,7.4,19.6
2022,1,22,Alabama,Missouri,H,86,76,7.4,2.6
2021,12,11,Alabama,Houston,H,83,82,7.4,-6.4
2022,2,16,Alabama,Mississippi St.,H,80,75,7.4,-2.4
2022,1,11,Alabama,Auburn,H,77,81,7.4,-11.4
2021,11,16,Alabama,South Alabama,H,73,68,7.4,-2.4
2021,12,29,Alabama,Tennessee,H,73,68,7.4,-2.4
2022,3,2,Alabama,Texas A&M,H,71,87,7.4,-23.4
2022,1,19,Alabama,LSU,H,70,67,7.4,-4.4
2022,2,12,Alabama,Arkansas,H,68,67,7.4,-6.4
2021,12,18,Alabama,Jacksonville St.,H,65,59,7.4,-1.4
2022,2,5,Alabama,Kentucky,H,55,66,7.4,-18.4
2021,11,28,Alabama,Miami (FL),N,96,64,7.4,32
2021,12,4,Alabama,Gonzaga,N,91,82,7.4,9
2021,11,26,Alabama,Drake,N,80,71,7.4,9
2021,12,21,Alabama,Davidson,N,78,79,7.4,-1
2021,11,25,Alabama,Iona,N,68,72,7.4,-4
2021,11,9,Alabama A&M,Tennessee St.,H,82,73,-8.3,17.3
2022,2,26,Alabama A&M,Alabama St.,H,80,65,-8.3,23.3
2022,2,14,Alabama A&M,Ark.-Pine Bluff,H,74,69,-8.3,13.3
2022,1,8,Alabama A&M,Alcorn,H,71,78,-8.3,1.3
2022,3,3,Alabama A&M,Grambling,H,71,63,-8.3,16.3
2022,1,31,Alabama A&M,Bethune-Cookman,H,67,52,-8.3,23.3
2022,1,10,Alabama A&M,Jackson St.,H,60,58,-8.3,10.3
