year,month,day,team,opponent,location,teamscore,oppscore
2021,2,20,A&M-Corpus Christi,Lamar University,H,77,68
2021,2,3,A&M-Corpus Christi,SFA,H,75,84
2021,2,22,A&M-Corpus Christi,Southeastern La.,H,75,78
2021,2,8,A&M-Corpus Christi,Abilene Christian,H,69,82
2020,12,10,A&M-Corpus Christi,UTRGV,H,64,68
2020,11,28,A&M-Corpus Christi,Texas St.,H,63,75
2021,2,24,A&M-Corpus Christi,New Orleans,H,61,69
2021,2,6,A&M-Corpus Christi,UIW,H,53,58
2020,12,12,A&M-Corpus Christi,Texas Tech,N,57,77
2021,1,23,Abilene Christian,Central Ark.,H,93,58
2021,2,10,Abilene Christian,Houston Baptist,H,88,59
2021,3,6,Abilene Christian,UIW,H,85,60
2021,1,2,Abilene Christian,Lamar University,H,83,65
2021,2,13,Abilene Christian,A&M-Corpus Christi,H,83,55
2021,1,27,Abilene Christian,SFA,H,82,62
2021,1,16,Abilene Christian,Southeastern La.,H,76,42
2020,12,5,Abilene Christian,Tarleton St.,H,69,48
2021,3,12,Abilene Christian,Lamar University,N,93,71
2020,11,27,Abilene Christian,Austin Peay,N,80,72
2020,11,25,Abilene Christian,ETSU,N,70,47
2020,11,28,Abilene Christian,Omaha,N,70,58
2021,3,20,Abilene Christian,Texas,N,53,52
2021,3,22,Abilene Christian,UCLA,N,47,67
2021,1,16,Air Force,Wyoming,H,72,69
2021,2,22,Air Force,New Mexico,H,65,73
2021,2,13,Air Force,Fresno St.,H,64,67
2021,2,11,Air Force,Fresno St.,H,63,69
2021,2,24,Air Force,New Mexico,H,62,55
2021,1,22,Air Force,San Diego St.,H,61,98
2020,12,5,Air Force,Lamar University,H,59,44
2021,1,24,Air Force,San Diego St.,H,59,91
2021,1,18,Air Force,Wyoming,H,58,77
2021,1,2,Air Force,Utah St.,H,53,72
2020,12,31,Air Force,Utah St.,H,48,83
2020,11,28,Air Force,CSUN,N,66,61
2021,1,30,Air Force,San Jose St.,N,62,75
2021,1,28,Air Force,San Jose St.,N,58,59
2020,11,29,Air Force,Seattle U,N,45,63
2021,1,16,Akron,Toledo,H,95,94
2020,12,22,Akron,Ohio,H,90,70
2021,1,26,Akron,Eastern Mich.,H,86,65
2021,1,21,Akron,Central Mich.,H,81,67
2021,2,16,Akron,Northern Ill.,H,81,76
2021,1,30,Akron,Ball St.,H,74,42
2021,2,26,Akron,Bowling Green,H,71,83
2021,1,1,Akron,Kent St.,H,66,62
2020,12,15,Akron,St. Bonaventure,N,74,81
2021,3,11,Akron,Bowling Green,N,74,67
2021,3,12,Akron,Buffalo,N,74,81
2021,2,13,Alabama,Georgia,H,115,82
2021,1,16,Alabama,Arkansas,H,90,59
2021,1,5,Alabama,Florida,H,86,71
2020,12,22,Alabama,ETSU,H,85,69
2020,12,15,Alabama,Furman,H,83,80
2020,12,29,Alabama,Ole Miss,H,82,64
2021,2,20,Alabama,Vanderbilt,H,82,78
2020,11,25,Alabama,Jacksonville St.,H,81,57
2021,1,23,Alabama,Mississippi St.,H,81,73
2021,2,3,Alabama,LSU,H,78,60
2020,12,19,Alabama,Western Ky.,H,71,73
2021,1,26,Alabama,Kentucky,H,70,59
2021,3,2,Alabama,Auburn,H,70,58
2021,3,22,Alabama,Maryland,N,96,77
2020,12,2,Alabama,Providence,N,88,71
2020,12,1,Alabama,UNLV,N,86,74
2021,3,12,Alabama,Mississippi St.,N,85,48
2021,3,14,Alabama,LSU,N,80,79
2021,3,28,Alabama,UCLA,N,78,88
2021,3,13,Alabama,Tennessee,N,73,68
2021,3,20,Alabama,Iona,N,68,55
2020,11,30,Alabama,Stanford,N,64,82
2020,12,12,Alabama,Clemson,N,56,64
2020,12,19,Alabama A&M,South Alabama,H,93,90
2021,2,6,Alabama A&M,Mississippi Val.,H,93,58
2021,1,16,Alabama A&M,Alabama St.,H,70,63
2021,1,23,Alabama A&M,Southern U.,H,68,58
2021,3,1,Alabama A&M,Texas Southern,H,58,68
2021,2,8,Alabama A&M,Ark.-Pine Bluff,H,56,55
2021,2,27,Alabama A&M,Prairie View,H,54,55
2021,2,27,Alabama St.,Texas Southern,H,76,86
2021,2,6,Alabama St.,Ark.-Pine Bluff,H,73,67
2021,2,13,Alabama St.,Alabama A&M,H,72,58
2021,3,1,Alabama St.,Prairie View,H,67,70
2021,1,25,Alabama St.,Southern U.,H,66,64
2021,2,8,Alabama St.,Mississippi Val.,H,65,68
2021,1,23,Alabama St.,Alcorn,H,52,57
2021,1,2,Alabama St.,Grambling,H,49,66
2021,1,4,Alabama St.,Jackson St.,H,44,60
2021,1,16,Albany (NY),NJIT,H,83,75
2021,1,17,Albany (NY),NJIT,H,83,71
2021,2,13,Albany (NY),UMass Lowell,H,81,69
2021,2,12,Albany (NY),UMass Lowell,H,71,79
2021,2,21,Albany (NY),Stony Brook,H,67,59
2020,12,22,Albany (NY),Niagara,H,65,70
2020,12,19,Albany (NY),UMBC,H,64,65
2020,12,20,Albany (NY),UMBC,H,60,65
2021,2,20,Albany (NY),Stony Brook,H,43,59
2021,2,27,Albany (NY),NJIT,N,76,66
2021,1,18,Alcorn,Ark.-Pine Bluff,H,82,48
2021,1,16,Alcorn,Mississippi Val.,H,71,59
2021,2,24,Alcorn,Alabama St.,H,68,59
2021,2,6,Alcorn,Jackson St.,H,66,74
2021,2,22,Alcorn,Alabama A&M,H,65,52
2021,2,8,Alcorn,Grambling,H,62,67
2021,1,30,Alcorn,Southern U.,H,59,76
2021,3,11,Alcorn,Texas Southern,N,55,78
2021,2,28,American,Bucknell,H,81,68
2021,1,23,American,Loyola Maryland,H,71,70
2021,2,20,American,Navy,H,60,72
2021,2,21,American,Navy,H,60,69
2021,1,2,Appalachian St.,Troy,H,90,59
2021,1,22,Appalachian St.,Georgia St.,H,80,71
2021,1,9,Appalachian St.,Ga. Southern,H,77,71
2020,11,30,Appalachian St.,Bowling Green,H,76,78
2021,1,23,Appalachian St.,Georgia St.,H,74,61
2021,1,8,Appalachian St.,Ga. Southern,H,66,63
2021,2,19,Appalachian St.,South Alabama,H,63,65
2021,1,1,Appalachian St.,Troy,H,56,69
2021,2,20,Appalachian St.,South Alabama,H,54,56
2021,3,8,Appalachian St.,Georgia St.,N,80,73
2021,3,6,Appalachian St.,Texas St.,N,76,73
2021,3,5,Appalachian St.,Little Rock,N,67,60
2021,3,7,Appalachian St.,Coastal Carolina,N,64,61
2021,3,18,Appalachian St.,Norfolk St.,N,53,54
2020,12,7,Arizona,Northern Ariz.,H,96,53
2020,12,28,Arizona,Colorado,H,88,74
2020,12,9,Arizona,CSU Bakersfield,H,85,60
2021,1,25,Arizona,Arizona St.,H,80,67
2021,1,9,Arizona,UCLA,H,76,81
2021,2,27,Arizona,Washington,H,75,74
2020,11,27,Arizona,Grambling,H,74,55
2021,1,7,Arizona,Southern California,H,73,87
2021,1,30,Arizona,California,H,71,50
2020,12,5,Arizona,Eastern Wash.,H,70,67
2020,12,22,Arizona,Montana,H,70,64
2021,2,11,Arizona,Oregon St.,H,70,61
2020,12,12,Arizona,UTEP,H,69,61
2021,2,25,Arizona,Washington St.,H,69,53
2021,1,28,Arizona,Stanford,H,64,73
2021,2,13,Arizona,Oregon,H,61,63
2020,12,19,Arizona,Stanford,N,75,78
2020,11,29,Arizona St.,Houston Baptist,H,100,77
2021,2,23,Arizona St.,Washington,H,97,64
2021,1,21,Arizona St.,Arizona,H,82,84
2021,2,25,Arizona St.,Washington,H,80,72
2021,1,30,Arizona St.,Stanford,H,79,75
2021,2,27,Arizona St.,Washington St.,H,77,74
