opponent,count
Virginia-Lynchburg,4
Fisk,3
Coastal Georgia,3
Mid-Atlantic Christian,3
Cleary University,3
SUNY-Oneonta,2
Central Pennsylvania College,2
Champion Baptist,2
Arlington Baptist College,2
Midway,2
RIT,2
Misericordia,2
Hawaii Pacific,2
Northern Vermont-Johnson,2
Siena Heights,2
Elms College,2
Johnson & Wales U. (RI),2
Worcester State,2
Nobel University,2
Tusculum,2
Toccoa Falls,2
Oakland City,2
Eastern Oregon,2
University of Fort Lauderdale,2
St. Mary's (MD),2
McMurry,1
SW Adventist,1
Jarvis Christian,1
Penn State Shenango,1
Concord College,1
Blue Mountain College,1
Arkansas Baptist,1
SUNY-Delhi,1
Paul Smith's College,1
Marywood,1
Piedmont International,1
Christian Brothers,1
Arkansas Tech,1
Ecclesia College,1
SUNY-Maritime,1
Gallaudet University,1
Bryan,1
Mansfield,1
Earlham,1
Hanover,1
Elmira,1
Chaminade,1
Bethany (WV),1
Aquinas,1
North Central,1
Mercy College,1
Penn St.-Behrend,1
Pacific Lutheran,1
Redlands,1
Whittier,1
Cal Tech,1
Bethesda University,1
La Sierra University,1
Dominican (CA),1
Allegheny,1
Kansas Christian,1
Adrian College,1
Olivet College,1
Piedmont,1
Warren Wilson,1
Shaw,1
Union College (KY),1
Tennessee Wesleyan,1
Oakwood,1
St. Xavier,1
Capital,1
Waynesburg,1
St. John Fisher,1
Northern New Mexico,1
Sarah Lawrence,1
Penn State Abington,1
Alfred State,1
Maine-Augusta,1
DeSales,1
Wilmington (DE),1
Cheyney,1
Kean,1
Virginia State,1
Holy Family,1
Colorado Christian,1
Alaska - Anchorage,1
Colorado-Colorado Springs,1
Simpson College,1
Buena Vista,1
Widener,1
Central State (OH),1
Elizabeth City St.,1
Converse,1
Dallas Christian,1
Tiffin,1
East-West University,1
Blackburn,1
Indiana East,1
Belmont Abbey,1
Greensboro,1
Calumet,1
City College of New York,1
College of Saint Elizabeth,1
Manor College,1
Lehman College,1
Florida Memorial,1
Albany State (GA),1
St. Leo,1
New College Of Florida,1
Florida National,1
Trinity Baptist,1
Mount Saint Mary College,1
Manhattanville,1
Franklin Pierce College,1
Fresno Pacific,1
Columbia International,1
Ohio Christian,1
Bob Jones,1
North Greenville,1
Brevard,1
Catawba,1
Johnson C. Smith,1
Fort Valley State,1
Columbia College (SC),1
Huston-Tillotson,1
Centenary,1
Ripon College,1
Haskell Indian Nations,1
The Apprentice School,1
MIT,1
Hawaii-Hilo,1
Averett,1
Mary Baldwin,1
Pfeiffer,1
Molloy,1
SUNY-Old Westbury,1
Regis College,1
Southern Arkansas,1
College of Biblical Studies,1
District of Columbia,1
Bowie State,1
Morehouse,1
Whitman,1
Evergreen State,1
Park University,1
Justice College,1
Montana Western,1
