year,month,day,team,opponent,location,teamscore,oppscore,canceled,postponed,OT,D1,score_diff,home_advantage,neutral_diff,total
2026,1,31,Austin Peay,West Ga.,V,81,78,FALSE,FALSE,NA,2,3,-14.5,-11.5,159
2026,1,1,Bellarmine,West Ga.,V,85,87,FALSE,FALSE,NA,2,-2,-14.5,-16.5,172
2026,1,22,Central Ark.,West Ga.,V,86,65,FALSE,FALSE,NA,2,21,-14.5,6.5,151
2026,1,3,Eastern Ky.,West Ga.,V,76,88,FALSE,FALSE,NA,2,-12,-14.5,-26.5,164
2025,12,13,Ga. Southern,West Ga.,V,91,85,FALSE,FALSE,NA,2,6,-14.5,-8.5,176
2026,2,7,Jacksonville,West Ga.,V,73,87,FALSE,FALSE,NA,2,-14,-14.5,-28.5,160
2026,2,25,Lipscomb,West Ga.,V,78,84,FALSE,FALSE,NA,2,-6,-14.5,-20.5,162
2026,2,28,North Ala.,West Ga.,V,63,75,FALSE,FALSE,NA,2,-12,-14.5,-26.5,138
2026,2,5,North Florida,West Ga.,V,81,73,FALSE,FALSE,NA,2,8,-14.5,-6.5,154
2026,1,24,Queens (NC),West Ga.,V,66,74,FALSE,FALSE,NA,2,-8,-14.5,-22.5,140
2025,12,6,Tennessee Tech,West Ga.,V,87,59,FALSE,FALSE,NA,2,28,-14.5,13.5,146
2025,11,14,The Citadel,West Ga.,V,92,100,FALSE,FALSE,NA,2,-8,-14.5,-22.5,192
2025,11,21,USC Upstate,West Ga.,V,64,72,FALSE,FALSE,NA,2,-8,-14.5,-22.5,136
2025,11,14,West Ga.,The Citadel,H,100,92,FALSE,FALSE,NA,2,8,-14.5,22.5,192
2026,1,3,West Ga.,Eastern Ky.,H,88,76,FALSE,FALSE,NA,2,12,-14.5,26.5,164
2026,1,1,West Ga.,Bellarmine,H,87,85,FALSE,FALSE,NA,2,2,-14.5,16.5,172
2026,2,7,West Ga.,Jacksonville,H,87,73,FALSE,FALSE,NA,2,14,-14.5,28.5,160
2025,12,13,West Ga.,Ga. Southern,H,85,91,FALSE,FALSE,NA,2,-6,-14.5,8.5,176
2026,2,25,West Ga.,Lipscomb,H,84,78,FALSE,FALSE,NA,2,6,-14.5,20.5,162
2026,1,31,West Ga.,Austin Peay,H,78,81,FALSE,FALSE,NA,2,-3,-14.5,11.5,159
2026,2,28,West Ga.,North Ala.,H,75,63,FALSE,FALSE,NA,2,12,-14.5,26.5,138
2026,1,24,West Ga.,Queens (NC),H,74,66,FALSE,FALSE,NA,2,8,-14.5,22.5,140
2026,2,5,West Ga.,North Florida,H,73,81,FALSE,FALSE,NA,2,-8,-14.5,6.5,154
2025,11,21,West Ga.,USC Upstate,H,72,64,FALSE,FALSE,NA,2,8,-14.5,22.5,136
2026,1,22,West Ga.,Central Ark.,H,65,86,FALSE,FALSE,NA,2,-21,-14.5,-6.5,151
2025,12,6,West Ga.,Tennessee Tech,H,59,87,FALSE,FALSE,NA,2,-28,-14.5,-13.5,146
2026,2,7,Charleston So.,USC Upstate,V,94,100,FALSE,FALSE,NA,2,-6,-14.4,-20.4,194
2025,12,3,Coastal Carolina,USC Upstate,V,78,85,FALSE,FALSE,NA,2,-7,-14.4,-21.4,163
2026,2,28,Gardner-Webb,USC Upstate,V,61,71,FALSE,FALSE,NA,2,-10,-14.4,-24.4,132
2026,2,12,High Point,USC Upstate,V,95,70,FALSE,FALSE,NA,2,25,-14.4,10.6,165
2026,1,29,Longwood,USC Upstate,V,60,65,FALSE,FALSE,NA,2,-5,-14.4,-19.4,125
2025,11,25,N.C. Central,USC Upstate,V,67,82,FALSE,FALSE,NA,2,-15,-14.4,-29.4,149
2026,2,21,Presbyterian,USC Upstate,V,74,76,FALSE,FALSE,NA,2,-2,-14.4,-16.4,150
2025,12,31,Radford,USC Upstate,V,76,69,FALSE,FALSE,NA,2,7,-14.4,-7.4,145
2025,11,19,Tennessee Tech,USC Upstate,V,88,84,FALSE,FALSE,NA,2,4,-14.4,-10.4,172
2026,1,21,UNC Asheville,USC Upstate,V,83,69,FALSE,FALSE,NA,2,14,-14.4,-0.4,152
2026,2,7,USC Upstate,Charleston So.,H,100,94,FALSE,FALSE,NA,2,6,-14.4,20.4,194
