course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg
"Castle Pines Golf Club",72,7981,511,208,0.38,0.09,0.13,-0.33,323.2,19.3,0.6338,0.007,-0.041,-0.004,0.097
"Ocean Course at Kiawah Island",72,7671,489,207,2.57,0.29,0.21,-0.17,293,17.9,0.5894,-0.005,-0.02,-0.056,-0.017
"Torrey Pines South (U.S. Open)",71,7635,490,194,2.57,0.18,0.2,-0.12,300.8,17.8,0.487,-0.014,-0.02,-0.027,-0.003
"Torrey Pines South (Genesis Inv.)",72,7599,488,190,1.11,0.12,0.17,-0.26,290.5,14.9,0.5366,-0.026,0.033,-0.006,-0.063
"Torrey Pines Golf Course (South Course)",72,7593,487,194,1.08,0.09,0.17,-0.25,290.5,15.7,0.5299,-0.018,0.001,-0.001,-0.026
"Quail Hollow Club (PGA Championship)",71,7526,479,209,2.31,0.23,0.2,-0.28,296.9,18.7,0.5871,-0.019,-0.038,-0.029,0.034
"Pinehurst Resort &amp; Country Club (Course No. 2)",70,7513,480,201,3.09,0.25,0.2,-0.15,294.7,18.2,0.6685,-0.006,-0.087,-0.028,0.037
"Augusta National Golf Club",72,7479,482,182,2,0.18,0.23,-0.24,294.4,20.9,0.7137,-0.023,-0.082,-0.057,0.017
"Crooked Stick GC",72,7474,478,195,-0.32,0.13,0.07,-0.38,284.2,16.1,0.6167,0.007,0.002,0.022,-0.006
"Medinah Country Club (No. 3)",72,7470,477,199,-1.16,0.05,0.01,-0.36,290.6,18.6,0.6228,0.009,0.033,0.021,0.016
"Trump National Doral",72,7469,477,198,1.89,0.19,0.18,-0.17,285,19,0.5198,0.009,-0.009,-0.054,-0.046
"Caves Valley Golf Club",71,7428,470,210,-0.23,0.11,0.03,-0.33,293.2,17.2,0.6167,-0.005,-0.016,0.041,0.033
"Wilmington Country Club",71,7424,475,194,0.17,0.1,0.03,-0.19,303.3,21.4,0.4477,0.007,0.002,-0.002,0.019
"Quail Hollow Club",71,7418,474,194,0.96,0.15,0.13,-0.31,297,20,0.538,-0.009,0.004,-0.022,0.024
"Southern Hills Country Club",70,7418,471,213,2.65,0.24,0.17,-0.15,299.5,21,0.6198,-0.009,-0.034,-0.036,0.032
"Congressional CC (Blue)",71,7416,474,195,0.03,0,0.05,-0.19,288.1,17.1,0.5787,-0.008,0.026,0.041,0.015
"Valhalla Golf Club",71,7397,471,201,0.31,0.06,0.1,-0.33,282.3,14.9,0.6607,0.002,-0.007,0.02,-0.009
"Oakmont Country Club",70,7392,464,223,4.34,0.25,0.28,0.01,293.5,19.5,0.5439,-0.038,-0.129,-0.012,-0.05
"Winged Foot GC",70,7392,470,204,4.45,0.29,0.29,-0.11,288.6,23,0.4631,-0.029,-0.072,-0.016,-0.069
"Plantation Course at Kapalua",73,7371,453,190,-2.45,0.05,-0.05,-0.52,294.8,20.5,0.7021,-0.004,0.009,0.02,0.086
"Muirfield Village Golf Club",72,7366,472,189,1.24,0.19,0.14,-0.22,286.3,16.9,0.6348,0.001,-0.056,-0.05,-0.019
"Congaree Golf Club",71,7364,473,188,0.08,0.1,0.05,-0.29,301.2,20.9,0.7075,-0.005,-0.041,-0.009,0.066
"Shadow Creek Golf Course",72,7361,472,190,-0.09,0.1,0.07,-0.28,296.2,18.1,0.5289,0.006,-0.077,0.007,0.006
"The Summit Club",72,7359,474,181,-3.05,-0.03,-0.09,-0.52,298.4,19.8,0.6491,0,0.048,0.085,0.056
