player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Young, Cameron",26651,pga,pga,pga-arnold palmer invitational presented by mastercard-T3_pga-the players championship-1_major-masters tournament-T3_pga-rbc heritage-T25_pga-cadillac championship-1,3.47,1.29
"Fitzpatrick, Matt",17646,pga,pga,pga-the players championship-2_pga-valspar championship-1_major-masters tournament-T18_pga-rbc heritage-1_pga-zurich classic of new orleans-1,3.14,1.1
"Aberg, Ludvig",23950,pga,pga,pga-arnold palmer invitational presented by mastercard-T3_pga-the players championship-T5_pga-valero texas open-T5_major-masters tournament-T21_pga-rbc heritage-T4,2.86,1.23
"Scheffler, Scottie",18417,pga,-,pga-arnold palmer invitational presented by mastercard-T24_pga-the players championship-T22_major-masters tournament-2_pga-rbc heritage-2_pga-cadillac championship-2,2.82,-0.63
"McIlroy, Rory",10091,pga,pga,pga-att pebble beach proam-T14_pga-the genesis invitational-T2_pga-arnold palmer invitational presented by mastercard-WD_pga-the players championship-T46_major-masters tournament-1,2.66,0.61
"Rahm, Jon",19195,liv,alt,liv-hong kong-1_liv-singapore-5_liv-south africa-2_major-masters tournament-T38_liv-mexico city-1,2.62,0.33
"Schauffele, Xander",19895,pga,pga,pga-arnold palmer invitational presented by mastercard-T24_pga-the players championship-3_pga-valspar championship-T4_major-masters tournament-T9_pga-rbc heritage-T12,2.46,0.5
"Morikawa, Collin",22085,pga,-,pga-the genesis invitational-T7_pga-arnold palmer invitational presented by mastercard-5_major-masters tournament-T7_pga-rbc heritage-T4_pga-cadillac championship-T62,2.27,0.93
"Woodland, Gary",12577,pga,pga,pga-valspar championship-T14_pga-texas children's houston open-1_major-masters tournament-T33_pga-rbc heritage-T8_pga-cadillac championship-T38,2.01,1.46
"MacIntyre, Robert",23323,pga,pga,pga-arnold palmer invitational presented by mastercard-T24_pga-the players championship-4_pga-valero texas open-T2_major-masters tournament-CUT_pga-rbc heritage-T42,1.94,0.3
"Burns, Sam",19483,pga,pga,pga-the players championship-T13_pga-texas children's houston open-T21_major-masters tournament-T7_pga-rbc heritage-T16_pga-cadillac championship-T38,1.92,0.31
"Henley, Russell",14578,pga,-,pga-the players championship-T13_pga-valero texas open-CUT_major-masters tournament-T3_pga-rbc heritage-T25_pga-cadillac championship-T49,1.82,-0.02
"Fitzpatrick, Alex",25362,euro,pga,euro-investec south african open championship-T14_euro-joburg open-T6_euro-hero indian open-1_pga-zurich classic of new orleans-1_pga-cadillac championship-T9,1.72,1.63
"Kim, Si Woo",14609,pga,pga,pga-the players championship-T50_pga-valero texas open-T10_major-masters tournament-47_pga-rbc heritage-3_pga-cadillac championship-T4,1.72,0.26
"Bhatia, Akshay",26096,pga,pga,pga-the players championship-T13_euro-hero indian open-CUT_major-masters tournament-CUT_pga-rbc heritage-T16_pga-cadillac championship-T23,1.71,0.54
"Reed, Patrick",14838,euro,-,euro-bapco energies bahrain championship-T2_euro-qatar masters-1_euro-investec south african open championship-T29_euro-joburg open-T10_major-masters tournament-T12,1.7,0.83
"Cantlay, Patrick",15466,pga,pga,pga-arnold palmer invitational presented by mastercard-CUT_pga-the players championship-T32_pga-valspar championship-T7_major-masters tournament-T12_pga-rbc heritage-T8,1.65,0.14
"Knapp, Jake",19396,pga,-,pga-the genesis invitational-6_pga-the players championship-CUT_pga-texas children's houston open-T6_major-masters tournament-11_pga-rbc heritage-T74,1.64,0.14
"Scott, Adam",6430,pga,pga,pga-arnold palmer invitational presented by mastercard-T11_pga-the players championship-T56_pga-texas children's houston open-T21_major-masters tournament-T24_pga-cadillac championship-T4,1.63,0.46
"Fleetwood, Tommy",12294,pga,pga,pga-the players championship-T8_pga-valero texas open-T10_major-masters tournament-T33_pga-rbc heritage-T52_pga-cadillac championship-T23,1.57,-0.42
"McNealy, Maverick",18634,pga,pga,pga-the players championship-T32_pga-valero texas open-T21_major-masters tournament-T18_pga-rbc heritage-T16_pga-cadillac championship-T30,1.52,0.15
"Smalley, Alex",18474,pga,pga,pga-valspar championship-T46_pga-texas children's houston open-T21_pga-valero texas open-T14_pga-zurich classic of new orleans-T2_pga-cadillac championship-T7,1.49,0.79
