player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Scheffler, Scottie",9,1,1.585,0.147,36,34,0.6046397058823529,0.6892358823529412,0.7280520588235294,0.8863223529411765,2.303610294117647,2.9727208333333333
"Rahm, Jon",7,2,1.062,0,28,28,0.47798250000000003,0.4220539285714286,0.7731060714285715,0.9254342857142858,2.1205942857142857,2.5985785714285714
"Young, Cameron",9,2,2.2720000000000002,0.066,36,35,0.47893399999999997,0.34857657142857146,0.7795034285714286,0.9436688571428572,2.0717488571428575,2.5247325000000003
"Fitzpatrick, Matt",10,3,1.5299999999999998,0,40,38,0.17481105263157895,0.541821052631579,0.943646052631579,0.7294463157894736,2.2149134210526316,2.30199525
"McIlroy, Rory",8,1,0.675,0.296,30,26,0.2203526923076923,0.5241476923076923,0.7220488461538461,1.0097684615384614,2.2559649999999998,2.262380333333333
"Schauffele, Xander",9,0,0.662,0.012,34,33,0.35179030303030306,0.04674181818181818,1.000760909090909,0.7563433333333334,1.8038460606060607,2.1103664705882355
"Knapp, Jake",9,0,0.23099999999999998,0.005,34,33,0.8207263636363636,0.10335333333333334,0.5913909090909092,0.5570754545454545,1.251819696969697,2.101296470588235
"Morikawa, Collin",8,1,0.964,0.028,30,30,0.02987833333333334,0.319864,1.2216043333333333,0.4705003333333334,2.0119686666666667,2.041846
"Kim, Si Woo",13,0,0.543,0,52,45,-0.18046222222222225,0.34633222222222226,0.972188,0.6616308888888889,1.9801511111111112,1.9299990384615384
"Aberg, Ludvig",9,0,0.663,0,32,29,0.3601793103448276,0.39271655172413794,0.8399272413793104,0.6132617241379311,1.8459055172413796,1.9290737500000001
"Bridgeman, Jacob",11,1,1.061,0,44,42,1.0483390476190475,0.0020983333333333457,0.5849223809523809,0.2084140476190476,0.7954347619047618,1.8115636363636363
"Henley, Russell",10,0,0.116,0.066,36,34,0.4570438235294118,0.3936220588235294,0.5938752941176471,0.31164176470588234,1.2991391176470588,1.7735466666666668
"Koivun, Jackson",8,6,0.272,0,24,0,-9999,-9999,-9999,-9999,-9999,1.76105625
"Matsuyama, Hideki",10,0,0.396,0.001,40,39,0.3078371794871795,0.4721651282051282,0.8818841025641027,-0.031393846153846154,1.3226553846153848,1.7159817499999999
"Reed, Patrick",7,2,0.385,0.001,28,20,0.6484035,0.423563,0.695114,0.46499300000000005,1.5836700000000001,1.7121267857142857
"MacIntyre, Robert",9,0,0.503,0,34,32,0.9223915625,0.23682375,-0.40493874999999996,0.8482865625,0.6801715625,1.6633029411764706
"Gotterup, Chris",11,2,0.631,0,42,41,0.22976878048780489,0.25260195121951223,0.41518682926829265,0.745520731707317,1.4133095121951218,1.6289592857142858
"Scott, Adam",11,0,0.426,0,44,33,-0.030362727272727232,0.16681636363636365,1.1407603030303028,0.42016545454545456,1.727742121212121,1.6246420454545456
"Cantlay, Patrick",9,0,0.012000000000000002,0.001,32,29,-0.12883241379310345,0.6135262068965517,0.5831662068965516,0.5250996551724139,1.721792068965517,1.56508125
"Lee, Min Woo",12,0,0.702,0,46,36,0.3641697222222222,0.3526236111111111,0.22919333333333336,0.67816,1.2599769444444444,1.562824347826087
"McNealy, Maverick",11,0,0.012,0,42,41,0.6454814634146341,0.350579756097561,0.06091585365853657,0.43863780487804876,0.8501334146341464,1.556435238095238
"Bhatia, Akshay",11,1,1.1720000000000002,0,37,32,0.9924253125,0.1911053125,0.7885115625,-0.10599562500000001,0.87362125,1.5168754054054054
"Gerard, Ryan",14,0,0.836,0,52,45,0.23543199999999997,-0.19152022222222223,0.7487788888888889,0.3515106666666667,0.9087693333333334,1.483944423076923
"Fowler, Rickie",10,0,0.021000000000000005,0,36,34,0.5924414705882353,-0.1270670588235294,0.5279497058823529,0.41797147058823525,0.8188541176470587,1.4755977777777778
"Rose, Justin",8,1,1.002,0.066,27,24,0.20189749999999998,-0.054733333333333335,0.954225,0.16591125,1.0654029166666668,1.3926937037037037
"Schaper, Jayden",10,2,1.105,0,37,22,0.8440836363636364,0.07595090909090911,-0.18437545454545454,0.3988913636363636,0.2904668181818182,1.3874008108108107
"Burns, Sam",10,0,0.059,0.028,34,32,0.851585625,-0.2635746875,0.430655625,0.3491296875,0.516210625,1.3796158823529414
"Fleetwood, Tommy",10,0,0.395,0,40,40,0.05622075000000001,0.39097575,0.32517399999999996,0.5718565,1.28800625,1.34422675
"Lowry, Shane",12,0,0.069,0,42,42,0.2399902380952381,-0.06274404761904762,0.9241435714285715,0.23262571428571427,1.094025238095238,1.3340152380952381
"Spieth, Jordan",11,0,0.010000000000000002,0.001,42,42,0.43097047619047624,0.21687571428571428,0.5499366666666666,0.1191745238095238,0.8859869047619047,1.3169571428571427
"Hillier, Daniel",9,1,0.041,0,32,18,0.5298750000000001,-0.5969477777777779,0.41320611111111105,0.7884105555555556,0.6046688888888889,1.2950984375
"English, Harris",11,0,0.013000000000000001,0,42,39,0.7039974358974359,0.07927358974358974,-0.04117717948717945,0.5211112820512821,0.5592076923076924,1.286164761904762
"Detry, Thomas",9,0,0.011000000000000001,0,34,34,0.5312114705882353,0.027648529411764686,0.3854564705882353,0.3365970588235294,0.7497020588235294,1.280915588235294
"Theegala, Sahith",13,0,0.124,0,50,47,0.3474459574468085,0.4018776595744681,0.43652744680851063,-0.008743829787234012,0.8296612765957447,1.277254
"Crowe, Trace",3,0,0.002,0,12,4,1.4043725,-0.032327499999999953,0.12349750000000001,0.32068,0.41185000000000005,1.2466433333333333
"Hojgaard, Nicolai",12,0,0.40700000000000003,0,46,45,0.1554733333333333,0.07741066666666668,0.5199831111111111,0.4115726666666667,1.0089664444444444,1.196006956521739
"Day, Jason",10,0,0.078,0.001,36,33,0.6611878787878789,0.49818242424242426,-0.13091606060606065,0.23702666666666666,0.6042930303030303,1.1749877777777777
"Jarvis, Casey",12,2,0.10500000000000001,0,42,16,0.019649374999999976,-0.5317031249999999,0.052255625000000056,0.26907875,-0.21036874999999988,1.1479388095238097
"Hovland, Viktor",11,0,0.028999999999999998,0,42,42,0.03253095238095237,0.28304999999999997,0.6497469047619047,0.16285928571428573,1.0956561904761903,1.1281866666666667
"Smalley, Alex",12,0,0.005,0,46,43,0.2308493023255814,0.12837930232558137,0.6679146511627907,0.2235423255813953,1.0198362790697675,1.1079786956521738
"Hisatsune, Ryo",13,0,0.139,0,50,43,-0.000713720930232548,0.20580651162790697,0.5911725581395348,0.4935583720930232,1.2905374418604652,1.0897654
"Noren, Alex",10,0,0.009000000000000001,0,37,34,0.5172191176470589,0.2564444117647059,0.4726067647058823,0.04758823529411764,0.7766394117647059,1.0836827027027027
"Straka, Sepp",10,0,0.333,0,37,35,0.18725599999999998,0.18407885714285713,0.8603442857142857,0.22149771428571427,1.265920857142857,1.0810443243243244
"Cink, Stewart",7,4,0.005,0,23,0,-9999,-9999,-9999,-9999,-9999,1.072848695652174
"Taylor, Nick",13,0,0.002,0,50,48,-0.07683812500000005,0.5087622916666666,0.589533125,-0.02447041666666667,1.0738249999999998,1.059856
"Stevens, Sam",13,0,0.058,0,50,47,-0.025797446808510628,0.015695319148936182,0.4691659574468085,0.5484021276595745,1.0332634042553193,1.0507686
"Cho, Min-gyu",2,0,0.001,0,8,0,-9999,-9999,-9999,-9999,-9999,1.0439924999999999
"Kitayama, Kurt",11,0,0.652,0,41,39,0.041027692307692286,-0.2931594871794872,0.8259405128205128,0.45783948717948714,0.9906205128205128,1.017630731707317
"DeChambeau, Bryson",7,2,0.107,0,25,25,0.023038799999999998,-0.0921664,0.13612959999999996,0.8946932,0.9386564,0.9616979999999999
"Coody, Pierceson",12,0,0.103,0,41,38,0.05211815789473683,-0.3671107894736842,0.5523618421052632,0.600858947368421,0.7861100000000001,0.9554402439024391
"Putnam, Andrew",11,0,0.099,0,38,35,0.0823088571428571,0.4728382857142857,0.5617885714285714,-0.3511782857142857,0.6834485714285714,0.9449110526315788
"Puig, David",12,1,0.038000000000000006,0,44,36,0.5980927777777778,0.06299222222222223,-0.2461872222222222,0.7209355555555556,0.5377405555555556,0.9421747727272727
"Griffin, Ben",13,0,0.016,0,46,44,0.3789709090909091,0.6330279545454546,-0.08149977272727274,-0.04088681818181817,0.5106413636363637,0.9220263043478261
"Grace, Branden",8,0,0.005,0,31,24,0.3219079166666667,0.2580766666666667,0.48661875000000004,-0.12400500000000003,0.6206904166666667,0.8876335483870967
"Mitchell, Keith",12,0,0.004,0,46,43,-0.22973,0.0014574418604651241,0.3274102325581395,0.7293206976744186,1.0581883720930232,0.8872013043478261
"Yellamaraju, Sudarshan",13,0,0.22299999999999998,0,51,40,0.49730925,-0.1351605,0.33196024999999996,0.44335525000000003,0.640155,0.8712945098039215
"Gilligan, Ian",8,0,0.004,0,26,0,-9999,-9999,-9999,-9999,-9999,0.8652384615384616
"Koepka, Brooks",8,0,0.015,0.001,26,25,-0.3948316,-0.004912800000000019,0.8854088,0.3492788,1.2297748,0.865003076923077
"Hall, Harry",11,0,0.02,0,36,34,0.46193999999999996,0.44474176470588234,0.09912617647058825,-0.1942214705882353,0.3496464705882353,0.8634041666666666
"Flavin, Patrick",2,1,0.007,0,8,0,-9999,-9999,-9999,-9999,-9999,0.8186787499999999
"Woodland, Gary",11,1,0.971,0,36,33,0.47430878787878783,-0.33863848484848486,0.2097969696969697,0.6490157575757576,0.5201742424242424,0.8034180555555556
"Burgoon, Bronson",6,0,0.006,0,24,8,1.163035,-0.22677375,-0.08047374999999996,0.23470749999999999,-0.07253999999999997,0.7869775
"McCarty, Matt",15,0,0.048,0,54,47,0.28865085106382976,-0.08913446808510637,0.23539680851063827,0.1859040425531915,0.33216638297872336,0.7855461111111111
"Berger, Daniel",11,0,0.927,0,40,38,-0.039594210526315794,-0.2629797368421053,0.9005126315789473,0.1969526315789474,0.8344855263157894,0.7835832500000001
"Du Plessis, Hennie",9,0,0.003,0,33,14,0.06031999999999999,-0.01962857142857141,0.0241871428571429,0.4083535714285714,0.41291214285714295,0.7827966666666667
"Spaun, J.J.",11,1,0.208,0,34,33,-0.5348845454545454,0.10107363636363635,0.8159215151515151,0.3832942424242424,1.300289393939394,0.7610244117647058
"Fox, Ryan",12,0,0.017,0,44,36,0.1440641666666667,0.24577499999999997,0.13465944444444444,0.3609866666666667,0.7414211111111111,0.7506320454545455
"Holt, Ian",8,2,0.038,0,32,0,-9999,-9999,-9999,-9999,-9999,0.7257528124999999
"Ayora, Angel",14,0,0.003,0,53,22,0.08033681818181816,0.22785090909090908,0.13484818181818187,0.6240981818181818,0.9867972727272727,0.7174764150943396
