projection_scope,projection_scope_label,tournament_name,display_date,selected_stats,projection_model,projection_model_label,weather_enabled,weather_am_wave_adjustment_per_round,weather_pm_wave_adjustment_per_round,weather_wind_volatility_multiplier,player_name,normalized_player_name,score_display,score_number,round_display,round_number,thru,started_on_back_nine,player_state,current_hole,remaining_current_scope,remaining_current_round,remaining_future_rounds,rounds_remaining_after_current,remaining_holes,remaining_par3_count,remaining_par4_count,remaining_par5_count,win_tie_pct_display,win_probability,win_solo_probability,tie_for_lead_probability,win_tie_probability,fair_value_yes_cents,group_size,group_win_probability,group_win_tie_probability,group_fair_value_cents,group_place_1_probability,group_place_2_probability,group_place_3_probability,group_place_4_probability,top_20_dead_heat_probability,top_20_raw_probability,top_10_dead_heat_probability,top_10_raw_probability,top_5_dead_heat_probability,top_5_raw_probability,expected_final_score_display,expected_final_score_number,baseline_remaining,total_par_adjustment,total_sg_adjustment,total_adjustment,playoff_sg_rating,weather_player_wave,weather_adjustment,score_input_total,score_input_total_source,score_input_round,score_input_round_source,score_input_completed_holes,score_input_completed_holes_source,par3_scoring_avg_value,par3_scoring_avg_source,par3_scoring_avg_field_mean,par4_scoring_avg_value,par4_scoring_avg_source,par4_scoring_avg_field_mean,par5_scoring_avg_value,par5_scoring_avg_source,par5_scoring_avg_field_mean,sg_total_value,sg_total_source,sg_total_field_mean,sg_t2g_value,sg_t2g_source,sg_t2g_field_mean,sg_ott_value,sg_ott_source,sg_ott_field_mean,sg_app_value,sg_app_source,sg_app_field_mean,sg_arg_value,sg_arg_source,sg_arg_field_mean,sg_putt_value,sg_putt_source,sg_putt_field_mean
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Cameron Young,cameron young,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,18.5% / 3.4%,0.184605,0.1645,0.03425,0.19875,18.46,,,,,,,,,0.910667,0.9215,0.737842,0.76075,0.537716,0.566375,-21398.69,-21398.69,0,,,-21398.6894,1485.672561,,0,0,stat_feed,0,stat_feed,0,stat_feed,2.92,stat_feed,3.0684,3.92,stat_feed,4.0243,4.58,stat_feed,4.5947,2.5247,stat_feed,-0.3469,2.0717,stat_feed,-1781.4574,0.9437,stat_feed,-1781.2519,0.7795,stat_feed,-1781.3827,0.3486,stat_feed,-1781.2196,0.4789,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Matt Fitzpatrick,matt fitzpatrick,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,16.5% / 2.9%,0.165476,0.149125,0.028625,0.17775,16.55,,,,,,,,,0.902032,0.9115,0.73073,0.75425,0.518611,0.545625,-21398.38,-21398.38,0,,,-21398.3818,1485.632472,,0,0,stat_feed,0,stat_feed,0,stat_feed,2.99,stat_feed,3.0684,3.94,stat_feed,4.0243,4.47,stat_feed,4.5947,2.302,stat_feed,-0.3469,2.2149,stat_feed,-1781.4574,0.7294,stat_feed,-1781.2519,0.9436,stat_feed,-1781.3827,0.5418,stat_feed,-1781.2196,0.1748,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Si Woo Kim,si woo kim,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,11.9% / 2.3%,0.119434,0.108375,0.02325,0.131625,11.94,,,,,,,,,0.857204,0.875,0.651863,0.67575,0.436081,0.463,-21396.77,-21396.77,0,,,-21396.7656,1485.433007,,0,0,stat_feed,0,stat_feed,0,stat_feed,2.99,stat_feed,3.0684,3.93,stat_feed,4.0243,4.55,stat_feed,4.5947,1.93,stat_feed,-0.3469,1.9802,stat_feed,-1781.4574,0.6616,stat_feed,-1781.2519,0.9722,stat_feed,-1781.3827,0.3463,stat_feed,-1781.2196,-0.1805,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Xander Schauffele,xander schauffele,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,8.8% / 1.8%,0.087729,0.078875,0.0175,0.096375,8.77,,,,,,,,,0.797801,0.819375,0.558539,0.584,0.344467,0.368125,-21395.35,-21395.35,0,,,-21395.3536,1485.493008,,0,0,stat_feed,0,stat_feed,0,stat_feed,3.09,stat_feed,3.0684,3.94,stat_feed,4.0243,4.48,stat_feed,4.5947,2.1104,stat_feed,-0.3469,1.8038,stat_feed,-1781.4574,0.7563,stat_feed,-1781.2519,1.0008,stat_feed,-1781.3827,0.0467,stat_feed,-1781.2196,0.3518,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Ludvig Åberg,ludvig aberg,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,7.4% / 1.8%,0.07369,0.064625,0.01775,0.082375,7.37,,,,,,,,,0.784005,0.804625,0.535153,0.562,0.327338,0.352,-21394.79,-21394.79,0,,,-21394.7861,1485.478211,,0,0,stat_feed,0,stat_feed,0,stat_feed,2.95,stat_feed,3.0684,3.98,stat_feed,4.0243,4.48,stat_feed,4.5947,1.9291,stat_feed,-0.3469,1.8459,stat_feed,-1781.4574,0.6133,stat_feed,-1781.2519,0.8399,stat_feed,-1781.3827,0.3927,stat_feed,-1781.2196,0.3602,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Adam Scott,adam scott,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,5.0% / 1.2%,0.049552,0.044375,0.01175,0.056125,4.96,,,,,,,,,0.716995,0.739,0.459877,0.487375,0.259629,0.282,-21393.42,-21393.42,0,,,-21393.4244,1485.322994,,0,0,stat_feed,0,stat_feed,0,stat_feed,2.93,stat_feed,3.0684,4.02,stat_feed,4.0243,4.47,stat_feed,4.5947,1.6246,stat_feed,-0.3469,1.7277,stat_feed,-1781.4574,0.4202,stat_feed,-1781.2519,1.1408,stat_feed,-1781.3827,0.1668,stat_feed,-1781.2196,-0.0304,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Jake Knapp,jake knapp,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,3.7% / 0.8%,0.037455,0.0335,0.008125,0.041625,3.75,,,,,,,,,0.680252,0.7085,0.409062,0.4375,0.214673,0.2345,-21392.59,-21392.59,0,,,-21392.5909,1485.385644,,0,0,stat_feed,0,stat_feed,0,stat_feed,3.06,stat_feed,3.0684,3.96,stat_feed,4.0243,4.29,stat_feed,4.5947,2.1013,stat_feed,-0.3469,1.2518,stat_feed,-1781.4574,0.5571,stat_feed,-1781.2519,0.5914,stat_feed,-1781.3827,0.1034,stat_feed,-1781.2196,0.8207,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Rory McIlroy,rory mcilroy,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,3.7% / 0.9%,0.037483,0.032625,0.00875,0.041375,3.75,,,,,,,,,0.660751,0.68425,0.397284,0.421375,0.20805,0.228125,-21392.32,-21392.32,0,,,-21392.3194,1485.647144,,0,0,stat_feed,0,stat_feed,0,stat_feed,3.0684,field_mean_fallback,3.0684,4.0243,field_mean_fallback,4.0243,4.5947,field_mean_fallback,4.5947,2.2624,stat_feed,-0.3469,2.256,stat_feed,-1781.4574,1.0098,stat_feed,-1781.2519,0.722,stat_feed,-1781.3827,0.5241,stat_feed,-1781.2196,0.2204,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Patrick Cantlay,patrick cantlay,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,3.0% / 0.9%,0.029542,0.02575,0.008625,0.034375,2.95,,,,,,,,,0.631057,0.657,0.356681,0.381875,0.178587,0.196875,-21391.59,-21391.59,0,,,-21391.59,1485.294672,,0,0,stat_feed,0,stat_feed,0,stat_feed,2.98,stat_feed,3.0684,3.98,stat_feed,4.0243,4.55,stat_feed,4.5947,1.5651,stat_feed,-0.3469,1.7218,stat_feed,-1781.4574,0.5251,stat_feed,-1781.2519,0.5832,stat_feed,-1781.3827,0.6135,stat_feed,-1781.2196,-0.1288,stat_feed,-1781.2296
tournament,Tournament,Truist Championship,"May 7 - 10, 2026",course_hole_model|par3_scoring_avg|par4_scoring_avg|par5_scoring_avg|sg_ott|sg_t2g|sg_app,standard,Standard Model,false,0,0,1,Chris Gotterup,chris gotterup,E,0,E,0,0,false,NOT_STARTED,1,72,18,54,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,16,44,12,2.6% / 0.6%,0.025557,0.02275,0.006125,0.028875,2.56,,,,,,,,,0.57193,0.600625,0.306596,0.33,0.150836,0.165875,-21390.77,-21390.77,0,,,-21390.7658,1485.262258,,0,0,stat_feed,0,stat_feed,0,stat_feed,3.02,stat_feed,3.0684,3.98,stat_feed,4.0243,4.48,stat_feed,4.5947,1.629,stat_feed,-0.3469,1.4133,stat_feed,-1781.4574,0.7455,stat_feed,-1781.2519,0.4152,stat_feed,-1781.3827,0.2526,stat_feed,-1781.2196,0.2298,stat_feed,-1781.2296
