stats_team,team_slug,results_team,method,confidence,needs_review
Abilene Christian Wildcats,abilene-christian-wildcats,Abilene Christian,prefix_exact,1,no
Air Force Falcons,air-force-falcons,Air Force,prefix_exact,1,no
Akron Zips,akron-zips,Akron,prefix_exact,1,no
Alabama A&M Bulldogs,alabama-am-bulldogs,Alabama A&M,prefix_exact,1,no
Alabama Crimson Tide,alabama-crimson-tide,Alabama,prefix_multi_bestfit,0.93,no
Alabama State Hornets,alabama-st-hornets,Alabama St.,prefix_exact,1,no
Albany Great Danes,albany-great-danes,UAlbany,prefix_exact,1,no
Alcorn State Braves,alcorn-st-braves,Alcorn,prefix_exact,1,no
American Eagles,american-eagles,American,prefix_exact,1,no
App State Mountaineers,appalachian-st-mountaineers,App State,prefix_exact,1,no
Arizona State Sun Devils,arizona-state-sun-devils,Arizona St.,prefix_exact,1,no
Arizona Wildcats,arizona-wildcats,Arizona,prefix_multi_bestfit,0.94,no
Arkansas Razorbacks,arkansas-razorbacks,Arkansas,prefix_multi_bestfit,0.94,no
Arkansas State Red Wolves,arkansas-st-red-wolves,Arkansas St.,prefix_exact,1,no
Arkansas-Pine Bluff Golden Lions,arkansas-pine-bluff-golden-lions,Ark.-Pine Bluff,prefix_exact,1,no
Army Black Knights,army-black-knights,Army West Point,prefix_exact,1,no
Auburn Tigers,auburn-tigers,Auburn,prefix_exact,1,no
Austin Peay Governors,austin-peay-governors,Austin Peay,prefix_exact,1,no
Ball State Cardinals,ball-st-cardinals,Ball St.,prefix_exact,1,no
Baylor Bears,baylor-bears,Baylor,prefix_exact,1,no
Bellarmine Knights,bellarmine-knights,Bellarmine,prefix_exact,1,no
Belmont Bruins,belmont-bruins,Belmont,prefix_exact,1,no
Bethune-Cookman Wildcats,bethune-cookman-wildcats,Bethune-Cookman,prefix_exact,1,no
Binghamton Bearcats,binghamton-bearcats,Binghamton,prefix_exact,1,no
Boise State Broncos,boise-st-broncos,Boise St.,prefix_exact,1,no
Boston College Eagles,boston-college-eagles,Boston College,prefix_exact,1,no
Boston University Terriers,boston-u-terriers,Boston U.,prefix_exact,1,no
Bowling Green Falcons,bowling-green-falcons,Bowling Green,prefix_exact,1,no
Bradley Braves,bradley-braves,Bradley,prefix_exact,1,no
Brown Bears,brown-bears,Brown,prefix_exact,1,no
Bryant Bulldogs,bryant-bulldogs,Bryant,prefix_exact,1,no
Bucknell Bison,bucknell-bison,Bucknell,prefix_exact,1,no
Buffalo Bulls,buffalo-bulls,Buffalo,prefix_exact,1,no
Butler Bulldogs,butler-bulldogs,Butler,prefix_exact,1,no
BYU Cougars,brigham-young-cougars,BYU,prefix_exact,1,no
Cal Poly Mustangs,cal-poly-slo-mustangs,Cal Poly,prefix_exact,1,no
Cal State Bakersfield Roadrunners,csu-bakersfield-roadrunners,CSU Bakersfield,prefix_exact,1,no
Cal State Fullerton Titans,csu-fullerton-titans,Cal St. Fullerton,prefix_exact,1,no
Cal State Northridge Matadors,csu-northridge-matadors,CSUN,prefix_exact,1,no
California Baptist Lancers,california-baptist-lancers,California Baptist,prefix_exact,1,no
California Golden Bears,california-golden-bears,California,prefix_multi_bestfit,0.93,no
Campbell Fighting Camels,campbell-fighting-camels,Campbell,prefix_exact,1,no
Canisius Golden Griffins,canisius-golden-griffins,Canisius,prefix_exact,1,no
Central Arkansas Bears,central-arkansas-bears,Central Ark.,prefix_exact,1,no
Central Connecticut Blue Devils,central-conn-st-blue-devils,Central Conn. St.,prefix_exact,1,no
Central Michigan Chippewas,central-michigan-chippewas,Central Mich.,prefix_exact,1,no
Charleston Cougars,charleston-cougars,Col. of Charleston,prefix_multi_bestfit,0.95,no
Charleston Southern Buccaneers,charleston-southern-buccaneers,Charleston So.,prefix_exact,1,no
Charlotte 49ers,charlotte-49ers,Charlotte,prefix_exact,1,no
Chattanooga Mocs,chattanooga-mocs,Chattanooga,prefix_exact,1,no
Chicago State Cougars,chicago-st-cougars,Chicago St.,prefix_exact,1,no
Cincinnati Bearcats,cincinnati-bearcats,Cincinnati,prefix_exact,1,no
Clemson Tigers,clemson-tigers,Clemson,prefix_exact,1,no
Cleveland State Vikings,cleveland-st-vikings,Cleveland St.,prefix_exact,1,no
Coastal Carolina Chanticleers,coastal-carolina-chanticleers,Coastal Carolina,prefix_exact,1,no
Colgate Raiders,colgate-raiders,Colgate,prefix_exact,1,no
Colorado Buffaloes,colorado-buffaloes,Colorado,prefix_multi_bestfit,0.94,no
Colorado State Rams,colorado-st-rams,Colorado St.,prefix_exact,1,no
Columbia Lions,columbia-lions,Columbia,prefix_exact,1,no
Connecticut Huskies,connecticut-huskies,UConn,prefix_exact,1,no
Coppin State Eagles,coppin-st-eagles,Coppin St.,prefix_exact,1,no
Cornell Big Red,cornell-big-red,Cornell,prefix_exact,1,no
Creighton Bluejays,creighton-bluejays,Creighton,prefix_exact,1,no
Dartmouth Big Green,dartmouth-big-green,Dartmouth,prefix_exact,1,no
Davidson Wildcats,davidson-wildcats,Davidson,prefix_exact,1,no
Dayton Flyers,dayton-flyers,Dayton,prefix_exact,1,no
Delaware Blue Hens,delaware-blue-hens,Delaware,prefix_multi_bestfit,0.93,no
Delaware State Hornets,delaware-state-hornets,Delaware St.,prefix_exact,1,no
Denver Pioneers,denver-pioneers,Denver,prefix_exact,1,no
DePaul Blue Demons,depaul-blue-demons,DePaul,prefix_exact,1,no
Detroit Mercy Titans,detroit-mercy-titans,Detroit Mercy,prefix_exact,1,no
Drake Bulldogs,drake-bulldogs,Drake,prefix_exact,1,no
Drexel Dragons,drexel-dragons,Drexel,prefix_exact,1,no
Duke Blue Devils,duke-blue-devils,Duke,prefix_exact,1,no
Duquesne Dukes,duquesne-dukes,Duquesne,prefix_exact,1,no
East Carolina Pirates,east-carolina-pirates,East Carolina,prefix_exact,1,no
East Tennessee State Buccaneers,east-tennessee-st-buccaneers,ETSU,prefix_exact,1,no
East Texas A&M Lions,east-texas-am-lions,East Texas A&M,prefix_exact,1,no
Eastern Illinois Panthers,eastern-illinois-panthers,Eastern Ill.,prefix_exact,1,no
Eastern Kentucky Colonels,eastern-kentucky-colonels,Eastern Ky.,prefix_exact,1,no
Eastern Michigan Eagles,eastern-michigan-eagles,Eastern Mich.,prefix_exact,1,no
Eastern Washington Eagles,eastern-washington-eagles,Eastern Wash.,prefix_exact,1,no
Elon Phoenix,elon-university-phoenix,Elon,prefix_exact,1,no
Evansville Purple Aces,evansville-purple-aces,Evansville,prefix_exact,1,no
Fairfield Stags,fairfield-stags,Fairfield,prefix_exact,1,no
Fairleigh Dickinson Knights,fairleigh-dickinson-knights,FDU,prefix_exact,1,no
