team,opponent,neutral_diff,total
Marquette,Maryland,-16,171
UC Irvine,Weber St.,-0.5,149
Utah,Sam Houston,-4.3,164
Mississippi St.,Southeastern La.,-4.2,143
BYU,UConn,-2,170
Cleveland St.,Kent St.,-7,197
Coppin St.,South Alabama,-10,134
Drexel,Syracuse,-30,130
Kent St.,Cleveland St.,7,197
La Salle,Penn St.,-14,152
Loyola Maryland,Stonehill,11,137
Manhattan,Mississippi Val.,7,153
Nebraska,Oklahoma,6,204
Oklahoma,Nebraska,-6,204
Penn St.,La Salle,14,152
Radford,Wright St.,-33,151
South Alabama,Coppin St.,10,134
Stonehill,Loyola Maryland,-11,137
Syracuse,Drexel,30,130
UConn,BYU,2,170
Wright St.,Radford,33,151
Alabama A&M,Lindenwood,17.3,139
Fairfield,Loyola Maryland,10.9,167
Marist,Harvard,4.5,110
Central Ark.,Samford,-0.6,161
Western Caro.,Stetson,16.8,141
Long Beach St.,Illinois St.,3.7,162
Kennesaw St.,South Fla.,-13.7,197
Sacramento St.,Presbyterian,6.3,126
CSUN,Troy,12.7,179
Valparaiso,Bryant,21.2,118
UMBC,Wagner,3.8,141
Dartmouth,App State,-6.6,162
Western Ky.,Tennessee St.,14.4,177
Maine,Quinnipiac,-5.3,134
Oklahoma St.,A&M-Corpus Christi,16,154
South Dakota,Western Mich.,4.9,161
Massachusetts,Central Conn. St.,6.6,161
Wake Forest,UMass Lowell,33,184
Indiana,UIW,4.7,130
Virginia Tech,Charlotte,3.6,160
Ohio St.,Notre Dame,-4.2,127
Memphis,UNLV,-20,170
Purdue,Akron,11.5,176
Cincinnati,Mount St. Mary's,8.5,127
Loyola Chicago,Colorado St.,-25.6,147
Auburn,Houston,-1,145
Cleveland St.,Radford,5,169
Florida,Miami (FL),14,150
Hampton,Holy Cross,-6,128
Holy Cross,Hampton,6,128
Houston,Auburn,1,145
Kent St.,Wright St.,4,148
Miami (FL),Florida,-14,150
Radford,Cleveland St.,-5,169
Wright St.,Kent St.,-4,148
Siena,Colgate,11.2,141
Tennessee Tech,West Ga.,10.4,120
Portland St.,CSU Bakersfield,24.6,173
High Point,Canisius,52,143
Le Moyne,Niagara,10.3,142
Georgia,Florida A&M,33.8,144
Missouri,Prairie View,19.2,164
North Dakota St.,Southern Ill.,7.8,177
Clemson,North Ala.,20.5,142
Wisconsin,SIUE,23.2,163
Arizona St.,Georgia St.,10.4,137
Col. of Charleston,Drake,-11.7,133
ULM,Lamar University,-15.8,145
Kansas St.,Tulsa,-1.9,167
West Virginia,Lafayette,19.1,140
UCF,Oakland,0.8,170
NC State,VCU,2.4,164
Gonzaga,Southern Utah,68.2,172
Colorado,Alabama St.,23.5,160
UC Santa Barbara,LMU (CA),-8.5,152
Iowa St.,Stonehill,33.4,153
Oregon,Oregon St.,5.7,162
Pittsburgh,Bucknell,26.9,134
Tennessee,Rice,15.4,157
Charleston So.,IU Indy,23.6,194
Columbia,Boston U.,13.5,103
California,Presbyterian,17.5,124
UNI,NIU,18.8,127
UNCW,East Carolina,30.5,145
Buffalo,Vermont,9.1,184
Santa Clara,Idaho St.,14,119
California Baptist,UC Riverside,27.9,137
Cornell,Army West Point,17.2,159
Delaware,Saint Peter's,14.9,151
Murray St.,Little Rock,24,157
Washington,Southern U.,9,192
Lehigh,Saint Francis,19.8,141
Morgan St.,N.C. A&T,-3.2,152
Syracuse,Monmouth,7.8,151
George Mason,Jacksonville,24.6,136
Boston College,Hampton,12.3,115
Detroit Mercy,Eastern Mich.,-8.7,134
Seton Hall,New Haven,24.1,113
Florida St.,UT Martin,15,160
South Carolina,Radford,30,145
Kent St.,Eastern Ky.,15.4,171
Texas St.,Abilene Christian,14.3,112
Brown,Holy Cross,19,117
Minnesota,Chicago St.,11.5,120
San Diego,Grambling,9.4,146
Iona,Princeton,19.1,158
Georgia Tech,Ga. Southern,-17,148
James Madison,Towson,5,156
DePaul,Gardner-Webb,29.8,155
SMU,Ark.-Pine Bluff,44.8,166
Providence,New Hampshire,30.4,164
Pepperdine,New Orleans,9.2,169
Yale,Rhode Island,-10.8,163
Drexel,NJIT,30.1,118
Fresno St.,SFA,-0.1,158
LSU,Alcorn,23.1,188
Arkansas,Winthrop,-2,167
Ole Miss,Austin Peay,3.7,137
Stanford,Louisiana,23.6,159
Iowa,Southeast Mo. St.,25.4,169
North Carolina,Navy,8.1,134
Evansville,UT Arlington,-12.1,160
UCLA,Sacramento St.,26.4,127
San Francisco,Northwestern St.,15.2,148
Boise St.,Wichita St.,-2.1,121
San Diego St.,Troy,-6.8,215
Texas A&M,Montana,-1,167
Xavier,Old Dominion,23.3,168
Nevada,UC Davis,-10.8,146
Texas,Rider,26.2,164
Longwood,UMES,-9.5,165
Rutgers,American,0.5,151
Utah,Purdue Fort Wayne,-2.3,162
Duke,Kansas,12,144
Kansas,Duke,-12,144
Kentucky,Michigan St.,-17,149
Michigan St.,Kentucky,17,149
USC Upstate,Tennessee Tech,10.4,172
George Washington,UMBC,45.2,141
Western Caro.,UNC Asheville,12.8,153
Belmont,Lipscomb,10.8,143
Bowling Green,William & Mary,-4.2,156
Stetson,Howard,7.7,124
Michigan,Middle Tenn.,28.5,147
Sam Houston,Wyoming,11.5,148
Merrimack,Maine,9.9,137
La Salle,Villanova,-12.2,125
Richmond,VMI,35.3,141
Notre Dame,Bellarmine,8.7,165
South Carolina St.,Chattanooga,-10.6,144
Temple,Hofstra,5.9,157
Duquesne,Loyola Maryland,14.6,170
Oklahoma St.,South Fla.,8,198
Weber St.,Campbell,5.9,176
Air Force,Alabama St.,1.8,130
Saint Mary's (CA),Arkansas St.,11.6,157
Toledo,Youngstown St.,15.6,167
Cleveland St.,Valparaiso,-17.5,165
Indiana St.,Louisiana Tech,6.1,111
Penn St.,Harvard,1.1,164
Wofford,North Florida,4.7,164
Utah Valley,UC Irvine,3.5,151
Jacksonville St.,South Alabama,-9.6,136
Bradley,UMass Lowell,6,164
Virginia Tech,Bryant,12.6,139
Samford,FGCU,-20.6,139
Ohio,Bethune-Cookman,-9.8,149
