opponent,count
Virginia-Lynchburg,10
College of Biblical Studies,9
Nobel University,7
Bethesda University,7
Champion Baptist,6
Mid-Atlantic Christian,6
Ecclesia College,5
Lincoln (CA),5
Penn State Shenango,4
Fisk,4
Bryan,4
Midway,4
Toccoa Falls,4
Kentucky Christian,4
SW Adventist,3
Arkansas Baptist,3
Central Pennsylvania College,3
Piedmont International,3
Arlington Baptist College,3
Coastal Georgia,3
Chaminade,3
Northern Vermont-Johnson,3
La Sierra University,3
Oakwood,3
Cleary University,3
Dallas Christian,3
East-West University,3
University of Fort Lauderdale,3
Trinity Baptist,3
Bob Jones,3
Justice College,3
Southwestern Christian,3
Southern Wesleyan,3
Northwest Indian College,3
New Mexico Highlands,3
Dakota State,3
Notre Dame (MD),3
West Coast Baptist,3
Jarvis Christian,2
Blue Mountain College,2
SUNY-Oneonta,2
SUNY-Maritime,2
RIT,2
Misericordia,2
Hawaii Pacific,2
Bethany (WV),2
Siena Heights,2
North Central,2
Elms College,2
Johnson & Wales U. (RI),2
Worcester State,2
Whittier,2
Dominican (CA),2
Tusculum,2
Union College (KY),2
Tennessee Wesleyan,2
St. Xavier,2
Oakland City,2
Penn State Abington,2
Cheyney,2
Colorado Christian,2
Central State (OH),2
Elizabeth City St.,2
Indiana East,2
Eastern Oregon,2
Calumet,2
City College of New York,2
Manor College,2
New College Of Florida,2
Columbia International,2
North Greenville,2
St. Mary's (MD),2
Columbia College (SC),2
Huston-Tillotson,2
Haskell Indian Nations,2
Averett,2
Mary Baldwin,2
Pfeiffer,2
Evergreen State,2
Illinois Tech,2
Texas Lutheran,2
Eureka,2
Reinhardt,2
Texas A&M-San Antonio,2
Washington College,2
La Grange,2
Milligan,2
Webster,2
Dominican (IL),2
Penn St. Brandywine,2
Washington Adventist,2
Regent University,2
Coe College,2
Brescia,2
Defiance,2
Ohio Wesleyan,2
Life Pacific,2
Dallas University,2
Southern Virginia,2
San Francisco State,2
UC Santa Cruz,2
Brewton Parker College,2
Mount Marty,2
William Carey,2
Tougaloo,2
Rhodes,2
Howard Payne,2
Georgian Court,2
Bethel (TN),2
Erskine,2
Stanton,2
Westminster College,2
McMurry,1
Concord College,1
SUNY-Delhi,1
Paul Smith's College,1
Marywood,1
Christian Brothers,1
