year,month,day,team,opponent,location,teamscore,oppscore,d1
2025,11,3,Abilene Christian Wildcats,McMurry,H,92,55,1
2025,11,6,Abilene Christian Wildcats,Omaha,H,73,71,2
2025,11,11,Abilene Christian Wildcats,SW Adventist,H,104,63,1
2025,11,14,Abilene Christian Wildcats,SF Austin,V,66,76,2
2025,11,18,Abilene Christian Wildcats,Texas St,V,49,63,2
2025,11,24,Abilene Christian Wildcats,UTSA,N,61,50,2
2025,11,25,Abilene Christian Wildcats,William & Mary,N,58,92,2
2025,11,28,Abilene Christian Wildcats,Jarvis Christian,H,87,55,1
2025,12,2,Abilene Christian Wildcats,Pepperdine,V,71,63,2
2025,12,6,Abilene Christian Wildcats,New Mexico St,H,77,69,2
2025,12,16,Abilene Christian Wildcats,Arizona,V,62,96,2
2025,12,19,Abilene Christian Wildcats,BYU,V,67,85,2
2025,12,22,Abilene Christian Wildcats,Texas So,V,75,68,2
2026,1,1,Abilene Christian Wildcats,Utah Tech,H,64,79,2
2026,1,3,Abilene Christian Wildcats,Utah Valley,H,85,68,2
2026,1,8,Abilene Christian Wildcats,Tarleton St,V,84,80,2
2026,1,10,Abilene Christian Wildcats,UT Arlington,V,72,82,2
2026,1,15,Abilene Christian Wildcats,Cal Baptist,H,58,74,2
2026,1,17,Abilene Christian Wildcats,S Utah,V,52,74,2
2026,1,29,Abilene Christian Wildcats,Utah Tech,H,70,76,2
2026,1,31,Abilene Christian Wildcats,S Utah,H,76,79,2
2026,2,5,Abilene Christian Wildcats,Utah Valley,V,55,68,2
2026,2,7,Abilene Christian Wildcats,Cal Baptist,V,63,65,2
2026,2,12,Abilene Christian Wildcats,UT Arlington,H,67,63,2
2026,2,14,Abilene Christian Wildcats,Tarleton St,H,73,59,2
2026,2,16,Abilene Christian Wildcats,Tarleton St,V,62,65,2
2026,2,21,Abilene Christian Wildcats,S Utah,H,87,83,2
2026,2,26,Abilene Christian Wildcats,Utah Tech,V,81,85,2
2026,2,28,Abilene Christian Wildcats,Utah Valley,V,67,74,2
2026,3,5,Abilene Christian Wildcats,Cal Baptist,V,48,87,2
2026,3,7,Abilene Christian Wildcats,UT Arlington,H,57,64,2
2026,3,11,Abilene Christian Wildcats,Tarleton St,N,84,78,2
2026,3,12,Abilene Christian Wildcats,Utah Tech,N,74,80,2
