year,month,day,team,opponent,location,teamscore,oppscore,d1
2025,11,3,Abilene Christian Wildcats,McMurry,H,92,55,1
2025,11,6,Abilene Christian Wildcats,Omaha,H,73,71,2
2025,11,11,Abilene Christian Wildcats,SW Adventist,H,104,63,1
2025,11,14,Abilene Christian Wildcats,SF Austin,V,76,66,2
2025,11,18,Abilene Christian Wildcats,Texas St,V,63,49,2
2025,11,3,Air Force Falcons,Belmont,V,79,63,2
2025,11,8,Air Force Falcons,Austin Peay,H,74,54,2
2025,11,11,Air Force Falcons,LIU,H,76,72,2
2025,11,15,Air Force Falcons,Miami OH,H,76,61,2
2025,11,19,Air Force Falcons,Alabama St,H,66,64,2
